채용공고명,회사명,마감일,자격면허,고용형태_근무형태,근무조건_지역,모집요강,모집직종,링크,회사 전화번호,담당자 전화번호
일반사무원 모집,(주)동화아이엔디,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약
주 5일 근무
(주 소정근로시간: 40시간)","경기도 김포시 통진읍 가현로85번길 99-56, (주)동화아이엔디","일반 총무 사무 및 생산관리 보조 등 업무
- 자격면허 : PC사용 가능자 필수
- 근무시간 : 주 5일 (오전) 8시 30분 ~ (오후) 5시 30분",총무 및 일반 사무원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ20972606120004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031-981-4201, 031-981-4203",031-981-4201
[야탑동 / 4등급/할머님] 요양보호사 채용,마음드림재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 성남시 분당구 장미로 101, 806 (야탑동, 장미마을)","- 야탑동 4등급 할머님재가 대상자케어
- 간병일상생활지원(말벗,일상생활지원서비스)
- 주5일 : 09:00~12;00(오전 오후시간협의)
- 급여 : 시급10,320+ 주휴수당+수당 등=13,000원
※근로계약기간의 정함이 없는 근로자를 채용하는 것이라 하더라도 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.",간병인,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKX002606120005&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-4598-4832, 031-263-4832, 031-263-4835",031-263-4832
동선동 4가] 3등급 여자어르신/독거,조이실버복지타운,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 18시간)","서울특별시 성북구 동소문로27길 15, .. (동선동4가)","동선동 4가 3등급 독거 여자어르신
◾근무장소: 성북구 동소문로27길 15
◾직무내용: 식사준비, 외출동행, 심부름
◾근무시간: 09-12시 / 주6일,
◾급여 : 시급 10,320원 (주휴수당 및 휴일수당 포함 13,000)
◾문의 02-909-7070, 010-7221-2848",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10572606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-909-7070, 010-7221-2848, 02-909-7474","02-909-7070, 010-7221-2848"
[남천동] 아파트 미화원 모집,(주)목평인력개발,2026.08.11 (화) 24:00,관계없음,"기간의 정함이 있는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 34시간)","부산광역시 수영구 남천동로 41 (남천동, 남천동 코오롱 하늘채 골든비치)","===============
**사상구청 채용대행**
===============
* 남천동 코오롱하늘채 아파트
- 아파트 단지 내 미화 업무
- 남천역 1번 출구에서 10분 거리
- (평일) 08:00~15:30 (격주 토) 08:00~12:00
- 급여:1,838,560원
* 채용 담당자 통화 후 면접일정, 장소 안내받으시기 바랍니다.
- 사상구청 051-310-5191","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBJ002606120007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,051-310-5191,051-310-5191
60대 4등급 어르신 케어 요양보호사 구인,행복한노인복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 18시간)","경기도 양주시 고암길 273, 덕정주공3단지 (고암동)","* 61세 4등급 할머님(독거) 케어하실 요양보호사 구인
- 왼쪽 편마비, 신체지원, 가시지원, 정서지원
- 07:00~10:00 , 주6일(월~토) / 월 24회
- 10,320원(제수당 포함 13,000원)
** 지원 희망 시 김재곤 센터장님(010-2291-8417)에게 연락바랍니다.",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF11702606120003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-2291-8417, 031-858-8417, 031-858-8418",031-858-8417
요양보호사 모집,에덴감사재가복지센터,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 부천시 소사구 은성로 110-1 (소사본동, 주공2단지아파트)","대상자: 4등급 할머니
업무내용: 어르신 식사 돕기, 말벗, 운동 등 일상가사생활지원
근무시간 : 14:00 ~17:00 주5일
시급: 10320원 +주휴수당+연차수당+기타 수당 포함시 12,820원",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21002606120006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,032-346-7353,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
[중동] 재가 요양보호사 모집,가안재가요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","부산광역시 해운대구 좌동순환로468번길 11, 105동 (중동, 해운대에스케이뷰아파트)","[중동] 재가 요양보호사 모집
▶근무지 : 중동 SK뷰아파트
▶대상자 : 5등급, 72세여자(단기기억력 저하, 다른부분 양호)
▶직무내용 : 일반요양업무
▶근무시간 : 9:00~12:00 / 주5일
▶급여 : 시급 10,320원(수당포함 시 13,000원)
▶접수방법 : 통화 후 방문
- 채용담당자: 010-2593-8007 [가안재가요양센터]
*** 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음***",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBQ002606120008&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-2593-8007, 051-703-0346",010-2593-8007
[덕풍동 벽산블루밍] 4등급 여자어른신 재가요양보호사 모집,더케어방문요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약
주 5일 근무","경기도 하남시 신평로 36 (덕풍동, 벽산블루밍아파트)","[덕풍동 벽산블루밍 아파트] 4등급 여자어른신 케어 재가요양보호사 모집
ㅇ일상 가사 지원 등
ㅇ근무시간 : 주5일(월~금) 09:00 ~ 12:00
ㅇ급여 : 기본시급 10,320원 + 기타수당 포함 = 시급 13,000원
◆전화( 010-6722-5078 )상담 후 면접◆",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJK5002606120002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-6722-5078, 031-8027-7988, 031-8027-7977","010-6722-5078, 031-8027-7988"
[주5일/스케줄근무] 일산 9사단 백마부대 내 병영식당 사원 모집,(주)예스콘씨에스,2026.06.22 (월) 06:00,관계없음,"기간의 정함이 있는 근로계약
주 5일 근무
(주 소정근로시간: 40시간)","경기도 고양시 일산동구 고양대로 927, (군부대 내 병영식당 근무) (풍동)","[일산 9사단 백마부대 병영식당]
조리원
- 업무내용: 간단한조리, 배식, 전처리
- 근무시간 05:00 ~ 14:00(1시간 휴게시간)
* 스케줄 로테이션 주5일 근무
- 급여 260만원 (세전)
- 성별, 나이 : 무관
- 근무지 주소 : 경기도 고양시 일산동구 풍동 655-39 (군부대 내 병영식당 근무)
식수: 각 대대 500~600식수 예상_변동",사업체 구내식당 급식 조리사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0102606120003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,031-911-9197,031-911-9197
[당리역]병원요양보호사,다함께 사회적협동조합,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 있는 근로계약
주 5일 근무",부산광역시 사하구 낙동대로 408 (당리동),"[당리동]통합간호병동 요양보호사
-간병간호 통합서비스 지원인력
-요양보호사 자격필수, 경력자 우대
-주중5일, 7~16시
-시급 10,320원 이상(근무에 따라 다름)
-당리동 큐병원(당리역 앞)",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0052606120007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"051-853-7685, 051-853-7686",051-853-7685
[과천 부림동] 4등급 할아버지 요양보호사 구인[긴시간 근무],한마음꿈터복지재단,2026.08.11 (화) 14:00,"필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 18시간)",경기도 과천시 부림로 24-13,"[과천 부림동] 4등급 할아버지 요양보호사 [긴시간 근무]
- 일상가사지원, 신체활동지원서비스
- 장기요양급여 적용 근로시간: 9:00~12:00(주6일)
- 시급: 10,320원(주휴수당, 연차수당 별도지급)
- 경력1년이상",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAM002606120003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-9956-4597, 02-3473-1007, 02-522-1063",02-3473-1007
재가요양보호사 구인,희망노인복지케어,2026.08.11 (화) 24:00,"필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 18시간)",경기도 동두천시 중앙로 332 (생연동),"- 76세 3등급 독거 할머니
- 엉덩이로 밀어서 이동
- 정서지원 중요, 방 하나 주방 하나로 가사 일은 많지 않음
- 시급: 13,100원(주휴수당, 연차수당, 기타수당 포함)
- 지원 희망자는 010-4799-0919로 전화",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKK002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-4799-0919, 031-855-5950, 031-8083-9229","010-4799-0919, 031-855-5950"
[상지석동] 4등급 할머니 케어할 재가 요양보호사 모집,조은간호요양센터,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 파주시 운정2길 37-2, ***","[상지석동] 4등급 할머니 케어할 재가 요양보호사 모집
/ 가사지원,주변정리, 말벗 등 요양보호사 업무
/ 주5일 13:00~16:00 (3시간)
/ 시급 : 13,500원 (시급10,320원+ 주휴수당 등)
/ 지원문의: 031-905-2776 핸드폰 010-3746-2371
**실제 서비스 제공 기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정 근로 시간이나 임금, 근무(예정)지 등에 따라 차이가 있을 수 있음**",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ20842606120002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031-905-2776, 010-3746-2371, 031-905-0159","031-905-2776, 010-3746-2371"
[미사센트럴자이] 아파트 미화원 구인,새롬에스앤씨 주식회사,2026.08.11 (화) 15:00,관계없음,"기간의 정함이 있는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 33시간)","경기도 하남시 미사강변대로 95 (풍산동, 미사강변센트럴자이)","미사강변센트럴자이 아파트 미화원 구인
ㅇ아파트 단지내 청소 및 환경정리
ㅇ근무시간 : (월~금) 07:30 ~ 15:00, (토요일 격주근무) 07:30~11:00
ㅇ급여 : 월 1,827,672원
◆전화( 미화반장 010-4768-3426 )상담 후 방문 면접◆","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJK5002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-4768-3426, 031-464-0147",010-4768-3426
"재가요양보호사 구함(솔매로 36길. **, 미아역 민병원 뒷길/ 4등급 여자/오전)",서울노인복지센터,2026.08.11 (화) 24:00,"필수
요양보호사","기간의 정함이 있는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","서울특별시 강북구 솔매로36길 29, 민병원 뒷길 (미아동)","* 솔매로 36길. **, 미아역 민병원 뒷길/ 4등급 여자
* 근무시간 :09:00~12:00/주 5일
* 근무내용 : 말벗, 산책도움, 가사지원 등 일상생활 지원
* 시급 13,200원(기본 시급 + 주휴 수당 등 포함)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAD002606120003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,02-987-7961,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
[마산합포구 완월동] 재가 요양보호사 구인,효담 재가노인복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)",경상남도 창원시 마산합포구 3·15대로 231 (장군동4가),"-대상: 4등급 아버님/독거
-시간: 주 5일(월-금) 09:00~12:00
-지역: 창원시 마산합포구 완월동 (마산의료원 인근)
-시급: 13,000원
-업무: 반찬 만들기 등 가사 및 일상생활 지원
☎지원문의: 055-283-3221 창원새일센터",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10802606120004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,055-283-3221,055-283-3221
[대청역/ 4등급 할머님/ 13:00~16:00/ 주5일] 재가요양보호사 채용,허니재가방문요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","서울특별시 강남구 개포로110길 15 (일원동, 일원동우성7차아파트)","[대청역/일원동우성7차아파트] 재가요양사 채용
- 대 상 자 : 4등급 / 할머님
- 업 무 : 점심식사, 산책, 정서지원, 병원동행 등
- 근무시간 : 주 5일 / 13:00~16:00
- 시급: 10,320원(각종 수당포함 13,300원)
- 지원방법: 전화문의 후 방문 (010-3225-4876)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAX002606120002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-3225-4876, 02-451-4876","010-3225-4876, 02-451-4876"
[거제동] 빌딩경비원 구인,(주)삼성티엠에스,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 4일 근무
(주 소정근로시간: 43시간)","부산광역시 연제구 법원로 18, , (거제동)","* 거제동 빌딩 경비원 구인
* 격일제 근무(07:00~익일07:00)
- 휴게(주간 4.5시간/야간7시간)
* 월 2,079,600원
* 법원 근처 빌딩
* 즉시근무 가능자
* 경비원 신임교육 이수 필수","건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBN002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,051-665-4347,051-665-4347
"[성수동] 지식산업센터 기전주임(07:30격일 근무, 월320만원)모집",(주)예스종합관리,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 4일 근무
(주 소정근로시간: 40시간)","서울특별시 성동구 성수동2가 성수일로6길 53, 유원지식산업센터 (성수동2가)","성수동 유원지식산업센터 시설관리
- 영선업무 경력 2년이상 필수
- 근무시간 07:30 격일 근무
- 월 320만원",건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAQ002606120004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-499-8641, 02-499-8643",02-499-8641
양도마을 서해 아파트 경비원 채용 (복지카드소지자만 지원 가능),주식회사 이데아그룹,"채용시까지
(마감시간 : 24시)","기타
경비교육이수자(필수)","기간의 정함이 없는 근로계약
주 4일 근무
(주 소정근로시간: 40시간)","경기도 김포시 양도로 18 (풍무동, 양도마을서해아파트)","- 양도마을 서해 아파트 경비
- 격일제(6시교대) (휴게시간 주4, 야 6.5시간)
- 급여: 2,089,610원
- 복지카드 소지자(필수)",건물 관리원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21002606120004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,02-2613-8400,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
방문요양보호사 채용,가나방문요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사1급","기간의 정함이 없는 근로계약
주 5일 근무","경기도 안산시 상록구 석호공원로1길 6, 상세주소 확인필","** 중장년센터 채용대행입니다 **
- 5등급 할머님 재가
- 인지 좋으심
- 거동가능, 주변정리 등 일상케어 희망
- 오전9시~12시 (3시간)/ 주5일
- 문의 : 031-412-6681",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0202606120002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,031-412-6681,031-412-6681
[채용대행] 식사동 위시티블루밍3단지 아파트 커뮤니티 미화원 구인,주식회사 지엔비,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약
주 6일 근무
(주 소정근로시간: 36시간)","경기도 고양시 일산동구 위시티4로 79 (식사동, 위시티블루밍3단지아파트)","[채용대행] 식사동 위시티블루밍3단지 아파트 커뮤니티 미화원 구인
■ 지원문의 : 고양시통합일자리센터 031-8075-6459
- 채용인원 : 커뮤니티 미화원 1명
- 아파트 커뮤니티의 로비, 화장실, 게스트룸 등 청소
- 근무시간 : 평일 08:00~16:00 (휴게1시간20분), 매주 월요일 휴무
- 급여 : 월 2,192,900 원
- 인근거주자 우대, 미화경력자 우대","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ20912606120007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,031-8075-6459,031-8075-6459
센텀SD 경비원 구인,주식회사 하나종합관리,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 3일 근무
(주 소정근로시간: 40시간)","부산광역시 해운대구 삼어로 149, - (반여동, 센텀SD)","- 해운대구 반여동 센텀SD 경비 1명 모집
- 06:00~익일06:00 격일제 근무
- 월급 2,130,710원
- 수습기간 3개월 있음
- 6.15.(월) 면접예정
- 조기마감될 수 있으니 빠른 지원 부탁드립니다
- 지원문의 051-888-6915",아파트·빌라 경비원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ20282606120002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"051-888-6915, 051-888-6919",051-888-6915
재가요양보호사 구인,손길재가노인복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 24시간)","인천광역시 남동구 청능대로715번길 22 (논현동, 등대마을논현주공14단지아파트)","- 대상자 : 2등급 여자 어르신 케어
- 식사 및 일상생활지원
- 각종 수당 포함시 시급 13,100원 + 중증수당 하루 6,000원
- 주6일 근무(매주 토요일 근무)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJDE002606120002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-7686-4486, 032-724-8861",휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
